Round,Result,Running_Money,Debug
17717,Win,468,"Result: Win, Money: $468"
17718,Win,469,"Result: Win, Money: $469"
17719,Win,470,"Result: Win, Money: $470"
17720,Push,470,"Result: Push, Money: $470"
17721,Win,471,"Result: Win, Money: $471"
17722,Win,472,"Result: Win, Money: $472"
17723,Loss,471,"Result: Loss, Money: $471"
17724,Win,472,"Result: Win, Money: $472"
17725,Loss,471,"Result: Loss, Money: $471"
17726,Push,471,"Result: Push, Money: $471"
17727,Loss,470,"Result: Loss, Money: $470"
17728,Win,471,"Result: Win, Money: $471"
17729,Loss,470,"Result: Loss, Money: $470"
17730,Loss,468,"Result: Loss, Money: $468"
17731,Loss,467,"Result: Loss, Money: $467"
17732,Loss,466,"Result: Loss, Money: $466"
17733,Win,468,"Result: Win, Money: $468"
17734,Loss,467,"Result: Loss, Money: $467"
17735,Win,468,"Result: Win, Money: $468"
17736,Loss,467,"Result: Loss, Money: $467"
17737,Win,468,"Result: Win, Money: $468"
17738,Loss,466,"Result: Loss, Money: $466"
17739,Push,466,"Result: Push, Money: $466"
17740,Win,467,"Result: Win, Money: $467"
17741,Push,467,"Result: Push, Money: $467"
17742,Push,467,"Result: Push, Money: $467"
17743,Loss,466,"Result: Loss, Money: $466"
17744,Push,466,"Result: Push, Money: $466"
17745,Loss,465,"Result: Loss, Money: $465"
17746,Loss,464,"Result: Loss, Money: $464"
17747,Loss,463,"Result: Loss, Money: $463"
17748,Loss,462,"Result: Loss, Money: $462"
17749,Win,463,"Result: Win, Money: $463"
17750,Win,464,"Result: Win, Money: $464"
17751,Loss,463,"Result: Loss, Money: $463"
17752,Win,464,"Result: Win, Money: $464"
17753,Loss,463,"Result: Loss, Money: $463"
17754,Loss,462,"Result: Loss, Money: $462"
17755,Loss,461,"Result: Loss, Money: $461"
17756,Win,462,"Result: Win, Money: $462"
17757,Win,463,"Result: Win, Money: $463"
17758,Push,463,"Result: Push, Money: $463"
17759,Win,464,"Result: Win, Money: $464"
17760,Win,466,"Result: Win, Money: $466"
17761,Win,467,"Result: Win, Money: $467"
17762,Loss,466,"Result: Loss, Money: $466"
17763,Loss,465,"Result: Loss, Money: $465"
17764,Win,466,"Result: Win, Money: $466"
17765,Loss,465,"Result: Loss, Money: $465"
17766,Push,465,"Result: Push, Money: $465"
17767,Win,466,"Result: Win, Money: $466"
